Node,Rank
Porphyra sp. ZDR966,species
Porphyra sp. ZDR980,species
Porphyra sp. ZEK881,species
Porphyra sp. ZIR901,species
Porphyra sp. ZIR970,species
Porphyra sp. ZLI1045,species
Porphyra sp. GRB368,species
Porphyra sp. PTK206,species
Porphyra sp. WLR260,species
Porphyra sp. LGW151,species
Porphyra sp. SuSa 001,species
Porphyra sp. 1 F951280 33,species
Porphyra sp. Baleia,species
Porphyra sp. CDN-2004,species
Porphyra sp. strain GRB580,species
Porphyra sp. strain CHL846,species
Porphyra sp. CRE1313,species
Porphyra sp. TRI1308,species
Porphyra sp. HBS1229,species
Porphyra sp. BPL1406,species
Porphyra sp. BAK1147,species
Porphyra sp. THU1206,species
Porphyra sp. JB286,species
Porphyra sp. P245,species
Porphyra sp. collinsii,species
Porphyra sp. novae-angliae,species
Porphyra sp. olivii,species
Porphyra sp. spatulata,species
Porphyra sp. stamfordensis,species
Porphyra sp. DN001,species
Porphyra sp. DN002,species
Porphyra sp. DE001,species
Porphyra sp. Shimonoseki,species
Porphyra sp. Shinori,species
Porphyra sp. Ogatsu,species
Porphyra sp. P2,species
Porphyra sp. P7,species
Porphyra sp. P10,species
Porphyra sp. TG-1,species
Porphyra sp. SCL-2008-1,species
Porphyra sp. SCL-2008-2,species
Porphyra sp. SCL-2008-3,species
Porphyra sp. SCL-2008-4,species
Porphyra sp. SCL-2008-5,species
Porphyra sp. JBCH49,species
Porphyra sp. Az23,species
Porphyra sp. Az21J,species
Porphyra sp. RN02,species
Porphyra sp. CH7,species
Porphyra sp. JBCH54,species
Porphyra sp. JB403,species
Porphyra sp. CH5,species
Porphyra sp. CH4,species
Porphyra sp. AMM06SF2347,species
Porphyra sp. FIB,species
Porphyra sp. FID,species
Porphyra sp. FIE,species
Porphyra sp. FIG,species
Porphyra sp. FIH,species
Porphyra sp. FII,species
Porphyra sp. GEP350,species
Porphyra sp. MME-2010a,species
Porphyra sp. FIC,species
Porphyra sp. GDM143,species
Porphyra sp. GRB488,species
Porphyra sp. LGD030,species
Porphyra sp. SBA190,species
Porphyra sp. SIR242,species
Porphyra sp. SSR053,species
Porphyra sp. TAS333,species
Porphyra sp. GRB108,species
Porphyra sp. OTA261,species
Porphyra sp. ROS1211,species
Porphyra sp. P148,species
Porphyra sp. P523,species
Porphyra sp. P551,species
Porphyra sp. MDJL-2007,species
Porphyra sp. ARS-2011,species
Porphyra sp. 1FIH,species
Porphyra sp. GRB145,species
Porphyra sp. GRB178,species
Porphyra sp. GRB287,species
Porphyra sp. JBCH26A,species
Porphyra sp. MTR,species
Porphyra sp. OSK,species
Porphyra sp. ZBS,species
Porphyra sp. ZGR,species
Porphyra sp. ZPP,species
Porphyra sp. ZSM,species
Porphyra sp. FO,species
Porphyra sp. LLG-2014,species
Porphyra sp. AMM05SF2102,species
Porphyra sp. CHB,species
Porphyra sp. CHC,species
Porphyra sp. CHD,species
Porphyra sp. CHE,species
Porphyra sp. CHF,species
Porphyra sp. 1 MLG-2017,species
Porphyra sp. 1 JFC-2019,species
Porphyra drewiana,species
Porphyra capensis,species
Porphyra miurae,species
Porphyra crispata,species
Porphyra yamadae,species
Porphyra corallicola,species
Porphyra migitae,species
Porphyra chauhanii,species
Porphyra luchea,species
Porphyra longissima,species
Bangia,genus
Bangia atropurpurea,species
Bangia fuscopurpurea,species
Bangia gloiopeltidicola,species
Bangia maxima,species
Bangia vermicularis,species
unclassified Bangia,no rank
Bangia sp.,species
Bangia sp. strain BCP1026,species
Bangia sp. strain BDS725,species
Bangia sp. strain BFM675,species
Bangia sp. strain BWP662,species
Bangia sp. strain BOH1020,species
Bangia sp. BVE1286,species
Bangia sp. SCL-2008-1,species
Bangia sp. fjpt,species
Bangia sp. gdst,species
Bangia sp. jsls,species
Bangia sp. sddy,species
Bangia sp. sxyq,species
Bangia sp. BHH673,species
Bangia sp. Wellington Harbour/C8,species
Bangia sp. Wellington Harbour/BRMg,species
Bangia sp. Wellington Harbour/BHH1,species
Bangia sp. CH620,species
Bangia sp. 1BAN,species
Bangia sp. 2BAN,species
Bangia sp. BCH,species
Bangia sp. BFK,species
Bangia sp. BGA,species
Bangia sp. BJB,species
Bangia sp. BMW,species
Bangia sp. BNS,species
Bangia sp. BPL,species
Bangia sp. BRM,species
Bangia sp. SAS13020,species
Bangia sp. ESS1,species
Bangia sp. ESS2,species
Bangia sp. 1LH,species
Pseudobangia,genus
Pseudobangia kaycoleia,species
unclassified Pseudobangia,no rank
Pseudobangia sp. ARS-2011,species
Dione,genus
Dione arcuata,species
unclassified Dione (in: red algae),no rank
Dione sp. (in: red algae),species
Minerva,genus
Minerva aenigmata,species
Wildemania,genus
Wildemania miniata,species
Wildemania amplissima,species
Wildemania occidentalis,species
Wildemania variegata,species
Wildemania abyssicola,species
Wildemania norrisii,species
Wildemania schizophylla,species
unclassified Wildemania,no rank
Wildemania sp. HM080,species
Wildemania sp. 5POR,species
Wildemania sp. Antar23,species
Wildemania sp. FII,species
Wildemania sp. 1 MLG-2017,species
Wildemania sp. 1 MLG-2018,species
Pyropia,genus
Pyropia spiralis,species
Pyropia spiralis var. amplifolia,varietas
Pyropia spiralis var. spiralis,varietas
Pyropia acanthophora,species
Pyropia acanthophora var. brasiliensis,varietas
Pyropia leucosticta,species
Pyropia leucosticta A,strain
Pyropia pulchra,species
Pyropia onoi,species
Pyropia pseudolinearis,species
Pyropia fallax,species
Pyropia fallax subsp. fallax,subspecies
Pyropia kanakaensis,species
Pyropia torta,species
Pyropia brumalis,species
Pyropia kurogii,species
Pyropia cinnamomea,species
Pyropia gardneri,species
Pyropia abbottiae,species
Pyropia kinositae,species
Pyropia pulchella,species
Pyropia ishigecola,species
Pyropia lacerata,species
Pyropia kuniedae,species
Pyropia vietnamensis,species
Pyropia columbina,species
Pyropia aeodis,species
Pyropia elongata,species
Pyropia plicata,species
Pyropia thuretii,species
Pyropia njordii,species
Pyropia peggicovensis,species
Pyropia denticulata,species
Pyropia californica,species
Pyropia francisii,species
Pyropia cf. crassa,species
Pyropia cf. thuretii,species
Pyropia thulaea,species
Pyropia suborbiculata,species
Pyropia pseudolanceolata,species
Pyropia koreana,species
Pyropia cf. yezoensis 2 KN-2013,species
Pyropia cf. yezoensis 3 KN-2013,species
Pyropia parva,species
Pyropia orbicularis,species
Pyropia collinsii,species
Pyropia lanceolata,species
Pyropia conwayae,species
Pyropia hiberna,species
Pyropia cf. lanceolata SCL-2015,species
Pyropia montereyensis,species
Pyropia columbiensis,species
Pyropia protolanceolata,species
Pyropia bajacaliforniensis,species
Pyropia nitida,species
Pyropia nereocystis,species
Pyropia endiviifolia,species
Pyropia kanyakumariensis,species
Pyropia taeniata,species
Pyropia unabbottiae,species
Pyropia saldanhae,species
unclassified Pyropia,no rank
Pyropia sp. ROS204,species
Pyropia sp. PTW1017,species
Pyropia sp. AKL170,species
Pyropia sp. RIB167,species
Pyropia sp. SSR091,species
Pyropia sp. TCH243,species
Pyropia sp. TDC1732,species
Pyropia sp. 1POR,species
Pyropia sp. 2Cal,species
Pyropia sp. 6POR,species
Pyropia sp. DRB,species
Pyropia sp. FAL,species
Pyropia sp. MIG,species
Pyropia sp. ROS125,species
Pyropia sp. SMR,species
Pyropia sp. STI,species
Pyropia sp. WRO,species
Pyropia sp. Piaui,species
Pyropia sp. Antar68,species
Pyropia sp. DK,species
Pyropia sp. GCI,species
Pyropia sp. AGC-2012,species
Pyropia sp. NRIFS-1,species
Pyropia sp. NRIFS-2,species
Pyropia sp. DC-2014,species
Pyropia sp. LLG-2014,species
Pyropia sp. AMM324_1,species
Pyropia sp. AMM-2015b,species
Pyropia sp. ARC-P-207,species
Pyropia sp. CHG,species
Pyropia sp. CHH,species
Pyropia sp. CHI,species
Pyropia sp. CHJ,species
Pyropia sp. CHK,species
Pyropia sp. FIA,species
Pyropia sp. FID,species
Pyropia sp.,species
Pyropia sp. 1 MLG-2017,species
Pyropia sp. 3 RVD-2017,species
Pyropia sp. 4 RVD-2017,species
Pyropia sp. 2 LEY-2017,species
Pyropia sp. 5 LEY-2017,species
Pyropia sp. 4 LEY-2017,species
Pyropia sp. 3 LEY-2018,species
Pyropia sp. 1 LEY-2018,species
Pyropia sp. 1 MLG-2018,species
Pyropia sp. _1TDC1732,species
Pyropia sp. HM00019,species
Pyropia sp. 1 MCa-2020a,species
Pyropia sp. 2 MCa-2020a,species
Pyropia moriensis,species
Pyropia retorta,species
Pyropia ulleungensis,species
Pyropia vittata,species
Pyropia submarina,species
Pyropia stamfordensis,species
Lysithea,genus
Lysithea adamsiae,species
Clymene,genus
Clymene coleana,species
unclassified Clymene,no rank
Clymene sp. TTS,species
Boreophyllum,genus
Boreophyllum aestivale,species
Boreophyllum birdiae,species
Boreophyllum pseudocrassum,species
Boreophyllum aleuticum,species
Boreophyllum ambiguum,species
Fuscifolium,genus
Fuscifolium papenfussii,species
Fuscifolium tasa,species
unclassified Fuscifolium,no rank
Fuscifolium sp. CHA,species
unclassified Bangiaceae,no rank
Bangiaceae sp. 3-1,species
Bangiaceae sp. 2-1,species
environmental samples,no rank
uncultured Bangiaceae,species
Neothemis,genus
Neothemis ballesterosii,species
Neothemis iberica,species
Neoporphyra,genus
Neoporphyra dentata,species
Neoporphyra seriata,species
Neoporphyra perforata,species
Neoporphyra hollenbergii,species
Neoporphyra pendula,species
Neoporphyra raulaguilarii,species
Neoporphyra haitanensis,species
Neoporphyra meridionalis,species
unclassified Neoporphyra,no rank
Neoporphyra sp. C4,species
Neoporphyra kitoi,species
Phycocalidia,genus
Phycocalidia tanegashimensis,species
Phycocalidia pseudolobata,species
unclassified Phycocalidia,no rank
Phycocalidia sp. C17,species
Neopyropia,genus
Neopyropia tenera,species
Neopyropia tenera var. tamatsuensis,varietas
Neopyropia tenera var. tenera,varietas
Neopyropia yezoensis,species
Neopyropia yezoensis f. narawaensis,forma
Neopyropia yezoensis f. yezoensis,forma
Neopyropia katadae,species
Neopyropia katadae var. hemiphylla,varietas
Neopyropia fucicola,species
Neopyropia yezoensis x Neopyropia tenera,species
Kuwaitiella,genus
Kuwaitiella rubra,species
unclassified Bangiales,no rank
Bangiales sp. BOLD:AAA4620,species
Bangiales sp. BOLD:AAA7966,species
Bangiales sp. BOLD:AAA8191,species
Bangiales sp. BOLD:AAA8490,species
Bangiales sp. BOLD:AAB1425,species
Bangiales sp. BOLD:AAB9517,species
Bangiales sp. BOLD:AAC0648,species
Bangiales sp. BOLD:AAD1563,species
Bangiales sp. BOLD:AAE3662,species
Bangiales sp. BOLD:AAC2891,species
Bangiales sp. BOLD:AAD4284,species
Bangiales sp. BOLD:AAM4235,species
Bangiales sp. BOLD:AAM9830,species
Bangiales sp. BOLD:AAO5045,species
Bangiales sp. BOLD:AAO5085,species
Bangiales sp. BOLD:AAO5473,species
Bangiales sp. BOLD:AAO5901,species
Bangiales sp. BOLD:AAO6795,species
Bangiales sp. BOLD:AAO8573,species
Bangiales sp. BOLD:AAO8606,species
Bangiales sp. BOLD:AAP0050,species
Bangiales sp. BOLD:AAO5040,species
Bangiales sp. BOLD:AAO5559,species
Bangiales sp. BOLD:AAO5719,species
Bangiales sp. BOLD:AAO6262,species
Bangiales sp.,species
Bangiales sp. DGao-2022a,species
unclassified Bangiophyceae,no rank
Cyanidiales,order
Cyanidiaceae,family
Cyanidium,genus
Cyanidium caldarium,species
unclassified Cyanidium,no rank
Cyanidium sp. 3-8 CR,species
Cyanidium sp. 511,species
Cyanidium sp. Monte Rotaro,species
Cyanidium sp. Sybil cave,species
Cyanidium sp. MonteRotaro 19,species
Cyanidium sp. MonteRotaro 20,species
Cyanidium sp. Atacama,species
Cyanidium sp.,species
Cyanidium sp. THAL103,species
Cyanidioschyzon,genus
Cyanidioschyzon merolae,species
Cyanidioschyzon merolae strain 10D,strain
Cyanidioschyzon merolae strain DBV201,strain
environmental samples,no rank
uncultured Cyanidioschyzon sp.,species
unclassified Cyanidioschyzon,no rank
Cyanidioschyzon sp. CCMEE 5610,species
Cyanidioschyzon sp. 5508,species
Cyanidioschyzon sp. Y16,species
Cyanidioschyzon sp. 5578,species
environmental samples,no rank
uncultured Cyanidium sp.,species
unclassified Cyanidiaceae,no rank
Cyanidiaceae sp. MX-AZ01,species
Cyanidiaceae sp. ACUF 421,species
Cyanidiaceae sp. ACUF 627,species
Cyanidiaceae sp.,species
Cyanidiococcus,genus
Cyanidiococcus yangmingshanensis,species
environmental samples,no rank
uncultured Cyanidiales,species
uncultured Galdieria sp.,species
uncultured Cyanidiaceae,species
unclassified Cyanidiales,no rank
Cyanidiales sp. CCMEE 5506,species
Cyanidiales sp. CCMEE 5507,species
Cyanidiales sp. CCMEE 5508,species
Cyanidiales sp. CCMEE 5562,species
Cyanidiales sp. CCMEE 5564,species
Cyanidiales sp. CCMEE 5566,species
Cyanidiales sp. CCMEE 5570,species
Cyanidiales sp. CCMEE 5576,species
Cyanidiales sp. CCMEE 5578,species
Cyanidiales sp. CCMEE 5580,species
Cyanidiales sp. CCMEE 5584,species
Cyanidiales sp. CCMEE 5585,species
Cyanidiales sp. CCMEE 5593,species
Cyanidiales sp. CCMEE 5602,species
Cyanidiales sp. CCMEE 5605,species
Cyanidiales sp. CCMEE 5609,species
Cyanidiales sp. CCMEE 5610,species
Cyanidiales sp. CCMEE 5611,species
Cyanidiales sp. CCMEE 5612,species
Cyanidiales sp. CCMEE 5614,species
Cyanidiales sp. CCMEE 5615,species
Cyanidiales sp. CCMEE 5617,species
Cyanidiales sp. CCMEE 5624,species
Cyanidiales sp. CCMEE 5625,species
Cyanidiales sp. CCMEE 5633,species
Cyanidiales sp. CCMEE 5636,species
Cyanidiales sp. CCMEE 5639,species
Cyanidiales sp. CCMEE 5640,species
Cyanidiales sp. CCMEE 5647,species
Cyanidiales sp. CCMEE 5651,species
Cyanidiales sp. CCMEE 5652,species
Cyanidiales sp. CCMEE 5654,species
Cyanidiales sp. OC1A-12,species
Cyanidiales sp. OC1A-22,species
Cyanidiales sp. OC3C-10,species
Cyanidiales sp. OC3C-16,species
Cyanidiales sp. RS1J-14,species
Cyanidiales sp. RS1J-5,species
Cyanidiales sp. RS1N-10,species
Cyanidiales sp. RS1N-9,species
Cyanidiales sp. DJS-2012,species
Cyanidiales sp. CYAS,species
Cyanidioschyzonaceae,family
unclassified Cyanidioschyzonaceae,no rank
Cyanidioschyzonaceae sp. 1 FvB-2021,species
Cyanidioschyzonaceae sp. 2 FvB-2021,species
Cyanidioschyzonaceae sp. 1,species
Cyanidioschyzonaceae sp. 2,species
Cyanidioschyzonaceae sp. 3,species
environmental samples,no rank
uncultured Bangiophyceae,species
Cavernulicolales,order
Cavernulicolaceae,family
Cavernulicola,genus
Cavernulicola chilensis,species
Gronococcus,genus
Gronococcus sybilensis,species
Sciadococcus,genus
Sciadococcus taiwanensis,species
Galdieriales,order
Galdieriaceae,family
Galdieria,genus
Galdieria partita,species
Galdieria sulphuraria,species
Galdieria daedala,species
Galdieria maxima,species
unclassified Galdieria,no rank
Galdieria sp. CCMEE 5511,species
Galdieria sp. CCMEE 5572,species
Galdieria sp. CCMEE 5573,species
Galdieria sp. CCMEE 5574,species
Galdieria sp. CCMEE 5609,species
Galdieria sp. CCMEE 5620,species
Galdieria sp. CCMEE 5631,species
Galdieria sp. CCMEE 5657,species
Galdieria sp. CCMEE 5658,species
Galdieria sp. CCMEE 5659,species
Galdieria sp. CCMEE 5660,species
Galdieria sp. CCMEE 5661,species
Galdieria sp. CCMEE 5662,species
Galdieria sp. CCMEE 5663,species
Galdieria sp. CCMEE 5664,species
Galdieria sp. CCMEE 5665,species
Galdieria sp. CCMEE 5667,species
Galdieria sp. CCMEE 5668,species
Galdieria sp. CCMEE 5669,species
Galdieria sp. CCMEE 5670,species
Galdieria sp. CCMEE 5671,species
Galdieria sp. CCMEE 5672,species
Galdieria sp. CCMEE 5673,species
Galdieria sp. CCMEE 5674,species
Galdieria sp. CCMEE 5675,species
Galdieria sp. CCMEE 5676,species
Galdieria sp. CCMEE 5677,species
Galdieria sp. CCMEE 5678,species
Galdieria sp. CCMEE 5679,species
Galdieria sp. CCMEE 5680,species
Galdieria sp. CCMEE 5681,species
Galdieria sp. CCMEE 5702,species
Galdieria sp. CCMEE 5703,species
Galdieria sp. CCMEE 5704,species
Galdieria sp. CCMEE 5705,species
Galdieria sp. CCMEE 5706,species
Galdieria sp. CCMEE 5707,species
Galdieria sp. CCMEE 5708,species
Galdieria sp. CCMEE 5709,species
Galdieria sp. CCMEE 5710,species
Galdieria sp. CCMEE 5711,species
Galdieria sp. CCMEE 5712,species
Galdieria sp. CCMEE 5713,species
Galdieria sp. CCMEE 5714,species
Galdieria sp. CCMEE 5715,species
Galdieria sp. CCMEE 5716,species
Galdieria sp. CCMEE 5717,species
Galdieria sp. CCMEE 5718,species
Galdieria sp. CCMEE 5719,species
Galdieria sp. CCMEE 5720,species
Galdieria sp. 1 CJH-2013,species
Galdieria sp. CJH-2014,species
Galdieria sp.,species
Galdieria sp. ACUF 613,species
Galdieria phlegrea,species
Galdieria yellowstonensis,species
Florideophyceae,class
unclassified Florideophyceae,no rank
Florideophyceae sp. ex Dinophysis acuminata,species
Florideophyceae sp.,species
Rhodachlyales,order
Rhodachlyaceae,family
Rhodachlya,genus
Rhodachlya madagascarensis,species
Rhodachlya hawaiiana,species
unclassified Rhodachlya,no rank
Rhodachlya sp. ARS-2011,species
Rhodachlya sp.,species
environmental samples,no rank
uncultured Florideophyceae,species
Corallinophycidae,subclass
Corallinales,order
Corallinaceae,family
Metagoniolithoideae,subfamily
Amphiroideae,subfamily
Corallinoideae,subfamily
Jania,genus
Jania adhaerens,species
Jania crassa,species
Jania rubens,species
Jania rubens var. corniculata,varietas
Jania rubens var. rubens,varietas
Jania ungulata,species
Jania verrucosa,species
Jania natalensis,species
Jania capillacea,species
Jania rosea,species
Jania sagittata,species
Jania micrarthrodia,species
Jania sphaeroramosa,species
unclassified Jania,no rank
Jania sp. 240-360,species
Jania sp. OK239,species
Jania sp. KC145,species
Jania sp. ARS-2011,species
Jania sp. SYK-2014,species
Jania sp. CJW-2015,species
Jania sp. HV221,species
Jania sp. KZN2252_MR,species
Jania sp.,species
Jania sp. 2 WAN-2018,species
Jania sp. 1 WAN-2018,species
Jania cf. rosea 1,species
Jania cf. rosea 3,species
Jania sp. C_Twist-2019,species
Jania sp. J_Twist-2019,species
Jania sp. 1 JFC-2019,species
Jania sp. A_Twist-2019,species
Jania sp. E_Twist-2019,species
Jania sp. 1 PCC-2021,species
Jania sp. 2 PCC-2021,species
Jania cabista,species
Jania spectabilis,species
Corallina,genus
Corallina officinalis,species
Corallina officinalis var. chilensis,varietas
Corallina pilulifera,species
Corallina declinata,species
environmental samples,no rank
uncultured Corallina sp.,species
Corallina pinnatifolia,species
Corallina vancouveriensis,species
Corallina caespitosa,species
Corallina crassissima,species
Corallina aberrans,species
Corallina melobesioides,species
Corallina panizzoi,species
Corallina ferreyrae,species
Corallina chilensis,species
unclassified Corallina,no rank
Corallina sp. 6566,species
Corallina sp. 99100,species
Corallina sp. 5758,species
Corallina sp. 6768,species
Corallina sp. CAM1,species
Corallina sp. RHW003,species
Corallina sp. 343a,species
Corallina sp. MAD1,species
Corallina sp. NZC2113,species
Corallina sp. NZC2293,species
Corallina sp. NZC2496,species
Corallina sp. GS008,species
Corallina sp. ARS-2011,species
Corallina sp. ASD200,species
Corallina sp. ASD026,species
Corallina sp. 1California,species
Corallina sp. 1GWS,species
Corallina sp. 2frondescens,species
Corallina sp. 2vancouveriensis,species
Corallina sp. 3frondescens,species
Corallina sp. 4frondescens,species
Corallina sp. 5frondescens,species
Corallina sp. 5Korea,species
Corallina sp. CPC1,species
Corallina sp. CPC2,species
Corallina sp. CPC3,species
Corallina sp. CPC4,species
Corallina sp. LLG-2014,species
Corallina sp. SYK-2014,species
Corallina sp. 2015-SOC,species
Corallina sp. 2015-SOF,species
Corallina sp. 2015-SOA,species
Corallina sp. 2015-SOB,species
Corallina sp. 2015-SOE,species
Corallina sp. 2015-SOD,species
Corallina sp. Clade10 CJW-2015,species
Corallina sp. Clade11 CJW-2015,species
Corallina sp. Clade15 CJW-2015,species
Corallina sp. Clade16 CJW-2015,species
Corallina sp. Clade17 CJW-2015,species
Corallina sp. Clade18 CJW-2015,species
Corallina sp. Clade6 CJW-2015,species
Corallina sp. Clade7 CJW-2015,species
Corallina sp. KK-2015,species
Corallina sp.,species
Corallina sp. 1 JFC-2019,species
Corallina sp. 4BCcrust,species
Corallina sp. Fanad 1,species
Corallina sp. Fanad 2,species
Corallina sp. Fanad 3,species
Corallina sp. Fanad 4F,species
Corallina sp. Fanad 5,species
Corallina sp. RWade-2022a,species
Corallina maxima,species
Corallina confusa,species
Corallina chamberlainiae,species
Corallina cf. caespitosa,species
Corallina berteroi,species
Corallina yendoi,species
Corallina arbuscula,species
Cheilosporum,genus
Cheilosporum cultratum,species
Cheilosporum latissimum,species
Cheilosporum proliferum,species
unclassified Cheilosporum,no rank
Cheilosporum sp. KZN2250_MR,species
Bossiella,genus
Bossiella orbigniana,species
Bossiella orbigniana subsp. orbigniana,subspecies
Bossiella californica,species
Bossiella plumosa,species
Bossiella chiloensis,species
Bossiella frondescens,species
Bossiella dichotoma,species
Bossiella schmittii,species
Bossiella heteroforma,species
Bossiella montereyensis,species
Bossiella manzae,species
Bossiella reptans,species
Bossiella frondifera,species
Bossiella hakaiensis,species
Bossiella mayae,species
Bossiella exarticulata,species
unclassified Bossiella,no rank
Bossiella sp. 10GWS,species
Bossiella sp. 1chiloensis,species
Bossiella sp. 1plumosa,species
Bossiella sp. 2chiloensis,species
Bossiella sp. 2plumosa,species
Bossiella sp. 3plumosa,species
Bossiella sp. 4chiloensis,species
Bossiella sp. 4plumosa,species
Bossiella sp. 5chiloensis,species
Bossiella sp. 5plumosa,species
Bossiella sp. 7plumosa,species
Bossiella sp. 8plumosa,species
Bossiella sp. 6plumosa,species
Bossiella sp.,species
Calliarthron,genus
Calliarthron cheilosporioides,species
Calliarthron tuberculosum,species
Calliarthron regenerans,species
Calliarthron setchelliae,species
unclassified Calliarthron,no rank
Calliarthron sp.,species
Calliarthron sp. 2tuberculosum,species
Haliptilon,genus
Haliptilon squamatum,species
Haliptilon subulatum,species
unclassified Haliptilon,no rank
Haliptilon sp. KC144,species
Haliptilon sp. CH935,species
Serraticardia,genus
Arthrocardia,genus
Arthrocardia filicula,species
Arthrocardia corymbosa,species
Arthrocardia carinata,species
Arthrocardia flabellata,species
Arthrocardia cf. corymbosa 1278_BO,species
Arthrocardia cf. corymbosa 1280_BO,species
Arthrocardia cf. duthiae CH1617_KB,species
Arthrocardia cf. duthiae 320_PA,species
Arthrocardia cf. filicula 451_SB,species
unclassified Arthrocardia,no rank
Arthrocardia sp. ASE049,species
Arthrocardia sp. ASD027,species
Arthrocardia sp. 2 NZ Twist-2018,species
Arthrocardia sp. ARS-2011,species
Arthrocardia sp. 1 NZ Twist-2018,species
Arthrocardia sp. 3 NZ Twist-2018,species
Arthrocardia sp. SYK-2014,species
Arthrocardia sp. 1 KK-2015,species
Arthrocardia sp. 2 KK-2015,species
Arthrocardia sp. A_Twist-2019,species
Arthrocardia sp. B_Twist-2019,species
Arthrocardia sp. C_Twist-2019,species
Marginisporum,genus
Alatocladia,genus
Alatocladia yessoensis,species
Alatocladia modesta,species
Chiharaea,genus
Chiharaea bodegensis,species
Chiharaea americana,species
Chiharaea silvae,species
Chiharaea rhododactyla,species
unclassified Corallinoideae,no rank
Corallinoideae sp. 288-464,species
Johansenia,genus
Johansenia macmillanii,species
Crusticorallina,genus
Crusticorallina painei,species
Crusticorallina adhaerens,species
Crusticorallina muricata,species
Crusticorallina nootkana,species
Ellisolandia,genus
Ellisolandia elongata,species
unclassified Ellisolandia,no rank
Ellisolandia sp.,species
Pachyarthron,genus
Pachyarthron cretaceum,species
Lithophylloideae,subfamily
unclassified Lithophylloideae,no rank
Lithophylloideae sp. 1,species
Lithophylloideae sp. 2,species
Lithophylloideae sp. 3,species
Lithophylloideae sp. 4,species
Lithophylloideae sp. 6,species
Lithophylloideae sp. 7,species
Lithophylloideae sp. 8,species
Lithophylloideae sp. 9,species
Metamastophora,genus
Metamastophora flabellata,species
unclassified Metamastophora,no rank
Metamastophora sp. ARS-2011,species
Mastophoroideae,subfamily
Mastophora,genus
Mastophora rosea,species
Mastophora pacifica,species
unclassified Mastophora (in: red algae),no rank
Mastophora sp. ARS-2011,species
Mastophora sp. (in: red algae),species
Mastophora sp. 1,species
Mastophora sp. 2,species
Mastophora sp. 3,species
Mastophora sp. 4,species
Mastophora sp. 5,species
Lithoporella,genus
unclassified Lithoporella,no rank
Lithoporella sp. 1 SYJ-2021,species
Lithoporella sp. 2 SYJ-2021,species
Lithoporella sp.,species
unclassified Mastophoroideae,no rank
Mastophoroideae sp. BISH 699882,species
